"타임스탬프","1. 연령대를 선택해주세요.","2. 최근 1년 이내 온라인으로 의류를 구매한 적이 있나요?","3. 온라인에서 주로 구매하거나 찾아보는 의류를 모두 선택해주세요.","4. 가장 최근에 구매했거나 구매를 고민했던 옷은 무엇이었나요?","5. 그때 옷을 찾기 시작한 계기는 무엇이었나요?","6.  그때 처음 옷을 찾기 시작한 곳은 어디였나요?","7. 그 상품을 찾는 과정에서 실제로 했던 행동을 모두 선택해주세요.","8. 옷을 고를 때 중요하게 생각했던 조건을 최대 5개까지 선택해주세요.","9. 그 과정에서 불편했던 점을 모두 선택해주세요.","10. 위에서 선택한 것 중 가장 불편했던 한 가지는 무엇인가요?","11. 그 불편함 때문에 실제로 어떤 행동을 한 적이 있나요?","12. 온라인으로 구매한 옷을 교환하거나 반품했던 가장 흔한 이유는 무엇인가요? (최대 2개)","13. 온라인에서 옷 하나를 결정하기까지 보통 어느 정도 시간이 걸리나요?","14. 현재 쇼핑 과정에서 가장 귀찮다고 느끼는 작업 하나만 꼽는다면 무엇인가요?","15. 다음과 같은 도움 중 실제로 있다면 가장 유용할 것 같은 것을 최대 3개 선택해주세요.","16. 위 기능을 이용한다면 어떤 방식이 가장 편할 것 같나요?","17. 온라인으로 옷을 사면서 이런 것까지 대신해주면 정말 편할 텐데라고 생각했던 것이 있다면 자유롭게 적어주세요."
"2026. 9. 1 오후 5:30:07","40~44세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 정장 / 출근복","티셔츠 / 니트 / 블라우스 등 상의","출근 / 업무에 필요한 옷이 필요해서","네이버 / 구글 등 검색","여러 쇼핑몰이나 앱을 비교했다, 상품 목록을 오래 둘러봤다, 상세페이지를 꼼꼼히 확인했다, 구매후기를 많이 읽었다, 나와 비슷한 체형/연령의 후기를 찾아봤다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 가격, 브랜드","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다, 소재나 품질을 사진만 보고 판단하기 어렵다","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다","결정을 미루고 나중에 다시 찾아봤다, 리뷰를 오랫동안 찾아봤다","사이즈가 맞지 않아서, 생각했던 핏과 달라서","여러 날에 걸쳐 고민한다","맘에 드는 옷 찾기","여러 쇼핑몰의 상품을 한 번에 찾아주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 내가 입으려는 상황에 적절한 상품인지 판단해주기","","헤어스타일처럼 옷 스타일이 나에게 어울리는지 보여주면 좋겠다."
"2026. 9. 1 오후 5:30:34","45~50세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 운동복 / 골프웨어","티셔츠 / 니트 / 블라우스 등 상의","계절이 바뀌어서","인스타그램 / 유튜브 등 SNS","여러 쇼핑몰이나 앱을 비교했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 나와 비슷한 체형/연령의 후기를 찾아봤다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 소재 / 촉감, 가격","상품 사진과 실제 모습이 다를까 걱정된다, 특별히 불편한 점이 없다","상품 사진과 실제 모습이 다를까 걱정된다","일단 구매한 뒤 교환 또는 반품했다","사이즈가 맞지 않아서, 사진에서 본 디자인 / 색상과 달라서","30분~1시간","사이즈체크","별로 필요하지 않을 것 같다","잘 모르겠다","없음"
"2026. 9. 1 오후 5:48:54","35~39세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 원피스","티셔츠 / 니트 / 블라우스 등 상의, 원피스","출근 / 업무에 필요한 옷이 필요해서","백화점 / 홈쇼핑 온라인몰","여러 쇼핑몰이나 앱을 비교했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다","나에게 잘 어울릴 것 같은지, 체형이 잘 보완되는지, 색상이 나에게 어울리는지","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 검색어를 어떻게 입력해야 원하는 상품이 나오는지 어렵다","검색어를 어떻게 입력해야 원하는 상품이 나오는지 어렵다","일단 구매한 뒤 교환 또는 반품했다, 오프라인 매장에 가서 확인했다","생각했던 핏과 달라서, 나에게 어울리지 않아서","여러 날에 걸쳐 고민한다","서","내가 말한 조건에 맞는 상품만 골라주기, 여러 쇼핑몰의 상품을 한 번에 찾아주기","평소 쇼핑앱처럼 조건을 선택해서 검색","연결된 세탁소와 수선집까지 있어 운영편리하게"
"2026. 9. 1 오후 5:51:05","40~44세","7회 이상","바지, 원피스, 운동복 / 골프웨어, 특별한 날에 입는 옷","바지, 특별한 날에 입는 옷","할인 / 특가 상품을 발견해서","쿠팡","상품 목록을 오래 둘러봤다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다","체형이 잘 보완되는지, 색상이 나에게 어울리는지","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 사이즈를 결정하기 어렵다","사이즈를 결정하기 어렵다","결정을 미루고 나중에 다시 찾아봤다","사이즈가 맞지 않아서, 생각했던 핏과 달라서, 나에게 어울리지 않아서","1~2시간","사이즈","내가 말한 조건에 맞는 상품만 골라주기, 비슷한 상품끼리 차이점을 비교해주기, 수많은 리뷰에서 중요한 내용만 정리해주기","잘 모르겠다",""
"2026. 9. 1 오후 5:51:51","35~39세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 원피스","티셔츠 / 니트 / 블라우스 등 상의, 바지, 원피스","평소 입을 옷이 필요해서","네이버 / 구글 등 검색","여러 쇼핑몰이나 앱을 비교했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다","디자인이 마음에 드는지, 사이즈가 맞을 것 같은지, 체형이 잘 보완되는지","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다","결정을 미루고 나중에 다시 찾아봤다, 다른 쇼핑몰에서 다시 검색했다, 리뷰를 오랫동안 찾아봤다","사이즈가 맞지 않아서, 사진에서 본 디자인 / 색상과 달라서","여러 날에 걸쳐 고민한다","같은옷인데 가격이 달라서","내가 말한 조건에 맞는 상품만 골라주기, 여러 쇼핑몰의 상품을 한 번에 찾아주기","평소 쇼핑앱처럼 조건을 선택해서 검색",""
"2026. 9. 1 오후 6:06:32","45~50세","5~6회","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트, 원피스, 특별한 날에 입는 옷","스커트, 원피스","평소 입을 옷이 필요해서","지그재그 / 에이블리","여러 쇼핑몰이나 앱을 비교했다, 상세페이지를 꼼꼼히 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다, 가족이나 지인에게 의견을 물었다","나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 가격, 할인 여부, 다른 옷과 코디하기 쉬운지","상품 사진과 실제 모습이 다를까 걱정된다, 소재나 품질을 사진만 보고 판단하기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다","상품 사진과 실제 모습이 다를까 걱정된다","결정을 미루고 나중에 다시 찾아봤다","사이즈가 맞지 않아서, 소재나 품질이 기대와 달라서","여러 날에 걸쳐 고민한다","옷의 핏을 꼼꼼히 살피는것","나에게 맞는 사이즈를 추천해주기, 가지고 있는 옷과 코디하기 좋은 상품을 골라주기","평소 쇼핑앱처럼 조건을 선택해서 검색","코디"
"2026. 9. 1 오후 6:29:44","35~39세","7회 이상","바지, 스커트, 원피스, 운동복 / 골프웨어","기타","계절이 바뀌어서","브랜드 공식 쇼핑몰","여러 쇼핑몰이나 앱을 비교했다","나에게 잘 어울릴 것 같은지, 색상이 나에게 어울리는지, 소재 / 촉감, 옷의 품질, 세탁 / 관리가 쉬운지","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 상품 사진과 실제 모습이 다를까 걱정된다, 소재나 품질을 사진만 보고 판단하기 어렵다, 리뷰가 너무 많아 필요한 정보를 찾기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다","소재나 품질을 사진만 보고 판단하기 어렵다","리뷰를 오랫동안 찾아봤다","생각했던 핏과 달라서, 입어보니 불편해서","여러 날에 걸쳐 고민한다","내가 원하는 디테일이 있는지 실제 구매한 사람들의 블로그나 까페 sns 리뷰 읽어보는 것","내가 말한 조건에 맞는 상품만 골라주기, 수많은 리뷰에서 중요한 내용만 정리해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기","보고 있는 상품에 대해 질문하는 방식","내가 원하는 중요한 옷 디테일들을 기반으로 찾아서 모아보여줬으면 함."
"2026. 9. 1 오후 6:33:33","35~39세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트, 원피스, 재킷 / 코트 / 점퍼 등 아우터, 정장 / 출근복, 특별한 날에 입는 옷","바지","출근 / 업무에 필요한 옷이 필요해서","지그재그 / 에이블리","검색어를 여러 번 바꿔가며 검색했다, 여러 쇼핑몰이나 앱을 비교했다","옷의 품질","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다","다른 쇼핑몰에서 다시 검색했다","생각했던 핏과 달라서, 소재나 품질이 기대와 달라서, 입어보니 불편해서","10분 이내","검색어 설정","비슷한 상품끼리 차이점을 비교해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 내가 입으려는 상황에 적절한 상품인지 판단해주기","원하는 것을 말이나 글로 설명하면 상품을 추천받는 방식","영상으 많앗다면"
"2026. 9. 1 오후 7:05:34","40~44세","1~2회","티셔츠 / 니트 / 블라우스 등 상의, 정장 / 출근복, 특별한 날에 입는 옷, 기타","바지, 스커트, 원피스","모임 / 결혼식 / 행사 등 특정 일정이 있어서","쿠팡","검색어를 여러 번 바꿔가며 검색했다, 여러 쇼핑몰이나 앱을 비교했다, 상품 목록을 오래 둘러봤다, 상세페이지를 꼼꼼히 확인했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다, 나와 비슷한 체형/연령의 후기를 찾아봤다, 다른 상품과 가격을 비교했다","사이즈가 맞을 것 같은지, 체형이 잘 보완되는지, 소재 / 촉감, 옷의 품질, 원하는 상황에 입기 적절한지, 배송 / 교환 / 반품이 편한지, 리뷰가 좋은지","상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다, 사이즈를 결정하기 어렵다, 소재나 품질을 사진만 보고 판단하기 어렵다, 리뷰마다 의견이 달라 판단하기 어렵다, 교환이나 반품이 귀찮아 구매가 망설여진다","내 체형에 맞을지 판단하기 어렵다","구매를 포기했다, 결정을 미루고 나중에 다시 찾아봤다, 리뷰를 오랫동안 찾아봤다, 일단 구매한 뒤 교환 또는 반품했다","사이즈가 맞지 않아서, 생각했던 핏과 달라서","1~2시간","반품","내가 말한 조건에 맞는 상품만 골라주기, 비슷한 상품끼리 차이점을 비교해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 내 체형에 잘 맞을 만한 상품인지 알려주기","여러 상품을 선택하면 비교해주는 방식","체형별 실물사진"
"2026. 9. 1 오후 7:20:05","40~44세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트, 원피스","티셔츠 / 니트 / 블라우스 등 상의, 바지","출근 / 업무에 필요한 옷이 필요해서","네이버 / 구글 등 검색","상품 목록을 오래 둘러봤다, 상세페이지를 꼼꼼히 확인했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다, 나와 비슷한 체형/연령의 후기를 찾아봤다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 체형이 잘 보완되는지, 실제 착용했을 때 편할지, 세탁 / 관리가 쉬운지","검색어를 어떻게 입력해야 원하는 상품이 나오는지 어렵다, 비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다, 사이즈를 결정하기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다","사이즈를 결정하기 어렵다","리뷰를 오랫동안 찾아봤다, 일단 구매한 뒤 교환 또는 반품했다, 오프라인 매장에 가서 확인했다","사이즈가 맞지 않아서, 생각했던 핏과 달라서, 입어보니 불편해서","여러 날에 걸쳐 고민한다","사이즈 결정","비슷한 상품끼리 차이점을 비교해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 내 체형에 잘 맞을 만한 상품인지 알려주기","여러 상품을 선택하면 비교해주는 방식","사이즈, 체형에 대한 상세한 정보"
"2026. 9. 1 오후 7:56:54","35~39세","5~6회","티셔츠 / 니트 / 블라우스 등 상의, 바지, 재킷 / 코트 / 점퍼 등 아우터, 운동복 / 골프웨어","티셔츠 / 니트 / 블라우스 등 상의, 바지","평소 입을 옷이 필요해서","무신사","구매후기를 많이 읽었다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 실제 착용했을 때 편할지, 리뷰가 좋은지","내 체형에 맞을지 판단하기 어렵다, 사이즈를 결정하기 어렵다, 소재나 품질을 사진만 보고 판단하기 어렵다, 교환이나 반품이 귀찮아 구매가 망설여진다","교환이나 반품이 귀찮아 구매가 망설여진다","일단 구매한 뒤 교환 또는 반품했다","사이즈가 맞지 않아서, 생각했던 핏과 달라서","여러 날에 걸쳐 고민한다","반품","내가 말한 조건에 맞는 상품만 골라주기, 나에게 맞는 사이즈를 추천해주기","원하는 것을 말이나 글로 설명하면 상품을 추천받는 방식","무료배송 반품 "
"2026. 9. 1 오후 8:33:49","40~44세","1~2회","티셔츠 / 니트 / 블라우스 등 상의, 바지, 운동복 / 골프웨어","바지","평소 입을 옷이 필요해서","이전에 이용했던 쇼핑몰","상세페이지를 꼼꼼히 확인했다, 사이즈표를 확인했다, 특별히 비교하지 않고 바로 결정했다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 가격, 리뷰가 좋은지","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 나에게 어울릴지 판단하기 어렵다, 사이즈를 결정하기 어렵다, 가격이 적정한지 판단하기 어렵다","사이즈를 결정하기 어렵다","구매를 포기했다, 별다른 행동을 하지 않았다","교환 / 반품한 적이 거의 없다","여러 날에 걸쳐 고민한다","","내가 말한 조건에 맞는 상품만 골라주기, 수많은 리뷰에서 중요한 내용만 정리해주기, 가격 대비 괜찮은 상품인지 비교해주기","잘 모르겠다","실재 색감표현"
